input_size,stumpy CPU (12 threads),pyscamp CPU (12 threads),pyscamp CPU Advantage,stumpy GPU (fp64),pyscamp GPU fp64,pyscamp GPU fp64 Advantage,pyscamp GPU fp32,pyscamp CPU (12 threads) + GPU fp64
8192,6.812,0.01,669.938,1.747,0.01,181.297,0.035,0.013
16384,0.189,0.03,6.232,2.26,0.016,141.965,0.019,0.029
32768,0.748,0.102,7.331,3.356,0.036,92.378,0.036,0.08
65536,3.075,0.399,7.709,5.31,0.055,95.707,0.069,0.203
131072,13.951,1.487,9.382,9.711,0.101,96.535,0.124,0.516
262144,72.197,5.922,12.192,18.185,0.221,82.26,0.23,1.244
524288,367.535,22.867,16.073,36.501,0.573,63.678,0.63,2.637
1048576,,93.814,,111.844,1.958,57.11,2.113,9.31
2097152,,359.328,,439.938,7.151,61.524,7.664,26.999
